Uniprot ID,Gene Name,Log2 Ratio L/H NormalizedWTday01,Log2 Ratio L/H NormalizedWTday06,Log2 Ratio L/H NormalizedWTday12,Log2 Ratio L/H NormalizedWTday17,Log2 Ratio L/H NormalizedWTday22,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids)
O45782,arrd-17,-0.10701825,-0.183962835,-0.035905384,NA,-0.503857533,2.27E-21,14.6,426
O45783,,-2.137765808,-0.965396436,0.284124197,0.781256024,1.129071137,5.47E-223,62.2,135
O45784,taf-9,NA,NA,NA,NA,NA,1.52E-17,33.9,183
O45797,wts-1,NA,NA,NA,NA,NA,5.97E-08,2.4,908
O45812,,-0.633477711,-0.276317993,-0.09963185,0.309484568,0.655307827,2.02E-70,31.1,312
O45814,,NA,NA,NA,NA,NA,2.08E-05,3.2,435
O45815,act-5,0.28973907,-0.179765808,-0.289480386,-0.588612707,-0.702834822,0,65.3,375
O45819,gyg-2,-1.946206829,-0.149909668,0.301710389,1.638007114,1.09421782,1.94E-112,41.3,300
O45830,ndx-1,NA,NA,NA,NA,NA,7.39E-07,6.3,365
O45864,,0.458683415,NA,NA,NA,NA,2.34E-27,40,75
O45865;Q86CZ8;Q86CZ9,ant-1.1,-0.248777694,-0.27596058,-0.391217808,-0.513389678,-0.708407983,0,63.7,300
O45869;A5JYY0;Q1ZXR9;Q1ZXS0,pars-2,0.195202975,0.210696422,0.175305454,0.339637221,0.148113066,2.92E-103,38.5,454
O45872,,NA,NA,NA,NA,NA,4.39E-05,6,301
O45873,mec-18,NA,NA,NA,-0.013355059,NA,1.77E-11,9.4,638
Q9BI60;O45879,,NA,0.063454396,NA,NA,0.627649615,4.06E-07,3.2,476
O45901,,NA,NA,NA,NA,NA,3.60E-121,44.8,105
O45903,W09H1.5,-0.162854528,0.145334044,0.312563006,0.433194586,0.230922275,0,57.8,344
O45904,lec-1,-0.304627854,-0.340049473,0.129623443,0.273151349,0.35614381,0,77.5,285
O45920,,NA,NA,NA,NA,NA,8.24E-06,2.8,500
O45922;O45923,ttm-1,0.161733953,0.204831529,-0.166586914,0.189400604,NA,5.16E-09,5.9,391
O45924;Q4A1S8;O45930,Y39E4A.3,0.269755685,0.264928465,0.261033334,-0.039419183,-0.334911461,0,48.3,431
O45926,cyb-2.1,NA,NA,NA,NA,NA,8.40E-29,22.1,317
O45933,npp-18,-0.704075164,-0.069289713,-0.176960992,-0.030124161,0.097887821,2.55E-91,36.9,363
O45934;Q86DA0,,-0.119953718,0.096745728,-0.185105363,-0.178746506,-0.295252823,0,60,595
O45935,klp-19,-1.253989266,0.254736848,0.441791153,0.644555164,1.184260638,1.98E-214,35.2,1083
O45941,Y45F10C.2,-7.409900033,-0.342099565,2.026263837,2.544645159,2.686405853,0,70.9,117
O45944,Y45F10C.4,-0.803227036,-0.196481149,1.76121314,2.810763706,2.886939655,3.68E-89,58.1,124
O45946,rpl-18,0.191985711,0.176413665,-0.07299756,-0.131852846,-0.118758389,2.56E-272,91.5,188
O45947-2;O45947,gly-10,0.293146797,0.028807794,-0.402394751,-0.808755717,-0.912113305,5.62E-84,28.3,622
O45948,,-0.241718175,0.066366936,0.216400864,0.102279401,-0.014212445,7.97E-123,64.1,153
O45950,lin-38,-0.786429083,-0.924479992,-0.325156118,-0.275603079,-0.116630912,9.81E-48,19,700
O45951,,NA,NA,NA,NA,NA,0.00013396,3.1,383
O45952,csc-1,-1.351006344,0.114550584,0.434812296,0.652969383,0.694437984,2.76E-23,24.9,249
O45969,,NA,NA,NA,NA,NA,1.04E-175,37.8,532
O45988,,NA,NA,NA,NA,NA,2.94E-25,4.5,491
O45995,,NA,NA,NA,NA,NA,2.20E-80,24.7,667
O46009,,-1.163176666,0.097254928,-0.175556536,-1.341473457,-1.530570204,4.98E-75,40.5,309
O46015;Q7JKM0;Q7YTU0,tep-1,-1.464040872,-0.492314685,0.780215029,2.067152668,2.349455997,0,32.8,1501
O61196,,-0.45691126,-0.185359135,-0.169283661,-0.185612862,-0.866235421,2.94E-212,35.3,544
O61198,,0.395017788,NA,NA,-0.62928667,NA,1.34E-73,16,1256
O61199,T22B11.5,0.02585252,-0.338110596,0.011689781,-0.375289709,-0.41824393,0,39.7,1029
O61201,,-0.87530826,NA,NA,NA,-0.642285683,6.43E-36,2.5,5105
O61206,fbxc-52,NA,NA,NA,NA,NA,3.28E-12,18.5,394
O61208;Q8ITY3,gip-1,NA,0.165855134,NA,0.477904065,NA,2.42E-22,6.7,891
O61213,bli-3,-0.495285829,0.241304538,0.114410018,-0.469260847,0.23407493,5.01E-60,8.1,1497
O61217,,0.177180132,-0.372172052,-1.293311622,-1.242023178,-1.71606903,3.31E-130,37.2,301
O61219,,0.37559024,-0.062674363,0.15121784,-0.010493419,0.1231668,1.08E-96,66.5,182
O61235,ctl-1,-0.242328116,-0.358846331,0.222649725,0.179334944,-0.392097567,0,55.1,497
O61397,gly-7,0.465201297,NA,-0.13553487,-0.502941568,-0.609565868,3.28E-110,23.1,601
O61521,,NA,NA,NA,NA,NA,0.00056543,6.5,184
O61522,,-2.898169648,-0.131326075,0.41754034,0.714065192,1.011471633,6.46E-31,24.1,141
O61524,,NA,NA,NA,NA,NA,5.06E-35,11.9,168
O61528;C4ALD5;Q7JNG6;Q7JNG4;Q95Q51,unc-73,-0.218347209,-0.477573719,-0.52115127,-0.706375832,-0.625270489,1.11E-182,16,2488
O61660,top-3,-0.205517633,NA,0.451405551,0.412615805,NA,2.95E-23,13,759
O61707,taf-4,NA,NA,NA,NA,NA,1.35E-08,5.9,523
O61708,pqn-59,0.203684666,0.075580818,0.142241894,-0.11209958,-0.302991616,0,25.1,712
O61709,,0.358583449,-0.264236151,0.043303944,0.213403638,0.089804612,2.87E-104,45.8,253
O61710,,NA,NA,NA,NA,NA,2.86E-11,4.4,362
O61711,rnp-8,NA,NA,1.754772091,NA,NA,4.97E-127,24,583
O61737,wrt-9,NA,NA,NA,NA,NA,8.08E-09,4,553
O61741,,-0.084744621,-0.117960953,0.1681876,0.170166673,0.269320921,1.04E-113,31.3,412
O61742,rpn-10,-0.39835037,0.006637214,-0.011781859,0.119776838,0.161540305,1.31E-243,39,346
O61747,,NA,NA,NA,NA,NA,1.38E-25,4.6,455
O61749,F37F2.2,0.316492175,-0.056028539,-0.096531743,-0.411860074,-0.218719182,2.47E-95,44.4,160
O61770,,NA,NA,NA,NA,NA,9.97E-32,26,400
O61771,,NA,NA,NA,NA,NA,2.35E-89,19.3,1262
O61775,vet-2,NA,NA,NA,NA,NA,7.11E-31,8.7,572
O61786,inx-15,-0.982801963,-0.660198462,-0.253021096,-0.391657754,-0.603976406,1.63E-42,15.2,382
O61787,inx-16,-0.896078055,-0.433814084,-0.422555956,-0.386921282,-0.535754381,9.93E-264,26.9,372
O61788-2;O61788,inx-17,-0.827656458,-0.504569548,-0.20739313,-0.668209914,-0.767908995,3.14E-26,12.4,266
O61789,egg-5,NA,NA,NA,NA,NA,2.83E-27,7.6,753
O61790,,0.281666872,0.426955159,-0.333080194,-0.750949452,-0.802565477,5.48E-152,36.1,227
O61791,mrps-6,0.397239087,-0.006908369,-0.250597823,-0.088548697,-0.320080262,8.20E-104,68.5,162
O61792,rpn-8,-0.138683428,0.1607821,0.087426774,0.195781193,0.206328808,5.94E-277,55.5,362
O61793,,0.309895839,0.138568626,-0.01592569,-0.299830762,-0.079019633,6.37E-115,40.3,206
O61794,,NA,-0.144699025,0.21985791,-0.057138304,NA,1.06E-13,4.6,802
O61802,,-0.116098552,-0.576763978,-0.623585972,NA,NA,4.83E-32,3.5,1464
O61803,,NA,NA,NA,NA,NA,2.40E-07,5.9,458
O61815,,0.514696838,0.110760111,-0.462157048,-0.570171448,-1.02069776,1.26E-101,38.1,544
O61818,mrps-30,0.407420974,-0.13842131,-0.162596766,-0.175301034,-0.170950553,9.16E-166,43.4,523
O61820,eif-3.E,0.230786831,-0.105543992,-0.07231164,0.092647816,0.089528275,0,41,432
O61826,fkb-7,NA,NA,NA,NA,NA,9.58E-13,10.1,318
O61833,prmt-6,-0.349252032,0.044597914,0.237472586,NA,-1.439037963,2.37E-76,42.5,252
O61845,chd-7,-0.631337144,-0.427927928,-1.015782997,-0.629379936,-1.000793264,9.78E-113,9.3,2963
O61847,cdk-2,NA,0.508034057,0.945332088,0.965023689,0.796184928,8.47E-66,26.1,368
O61848,,-0.609187605,-0.567642792,-0.316493338,-0.109561152,-0.026870865,5.21E-191,82.2,202
O61851,,0.733051587,0.075276792,-0.33193447,-0.410341105,-0.689478088,0,10.9,4368
O61853,,-0.550605202,0.077726022,0.058548085,0.683738383,0.001616724,5.33E-46,12.3,651
O61856,T26C12.1,-0.168256923,-0.029841557,-0.353210356,-0.326997465,-0.365692537,2.07E-298,47.2,640
O61861,arx-7,-0.660654852,-0.114900024,0.005188594,0.213487275,0.141159614,7.32E-50,46.1,152
O61862,,-0.539630325,0.195946441,-0.041242982,0.225446953,0.261915309,3.86E-39,14,634
O61866,lipl-5,0.297360186,-0.511872807,0.697195501,0.173465749,0.584955287,2.18E-12,8.7,403
O61874;P91002,dod-19,0.73742252,-0.216610069,1.321747769,1.669510438,1.874031567,2.50E-146,45.8,406
O61880,,NA,NA,0.79676125,0.26798267,NA,8.53E-37,27.3,161
O61882,,0.22902722,0.712078595,0.458703242,1.318541739,0.935530983,9.47E-166,42.4,420
O61887,,-0.663663412,-0.766043843,-0.028144768,0.22813132,0.205962663,1.30E-69,48.7,279
O61900,,NA,0.538513349,0.526659861,NA,NA,1.56E-18,26.7,345
O61902,ndx-2,0.763831929,NA,NA,NA,NA,8.96E-27,14.3,223
O61906,,-1.868370697,-0.695281195,NA,-0.272023189,-0.622555576,2.86E-37,7,243
Q86S28;Q76NP4;O61907;Q86S27,lin-40,-1.063295842,-0.678793072,-0.651866835,-0.327802315,-0.354226457,0,43.3,870
O61929,,0.367880716,-0.927517246,NA,NA,NA,3.44E-17,14.3,476
O61931,ergo-1,-1.683471893,-0.213751646,-0.772561353,-0.474773476,-0.597125899,9.70E-53,12.6,1121
O61933,,NA,NA,NA,1.084670324,0.350964034,3.18E-27,12.3,317
O61936,,NA,NA,NA,NA,NA,1.02E-07,14.1,206
O61955-2;O61955-3;O61955,ife-3,-0.570560079,0.707053381,0.87614843,0.723062702,0.635136257,5.53E-190,59.3,248
O61967-2;O61967,let-413,-0.557875677,-0.601791584,-0.692784257,-0.539431811,-0.268194823,6.75E-191,28.9,679
O61968,,NA,NA,NA,NA,NA,0.00012432,7.5,174
O61974,,NA,NA,NA,NA,NA,3.60E-11,17.3,98
O61977,ttr-47,-0.810566494,0.215211275,1.299986495,1.825568013,1.916916012,3.64E-128,37.4,155
O61980;Q86S24;Q5TKA9,unc-23,0.834184512,0.059043978,-0.530270548,-0.592158002,-0.594166328,2.30E-100,31.7,458
O62012,fbxa-153,NA,NA,NA,NA,NA,2.75E-05,4.8,378
O62020,lin-66,NA,NA,NA,NA,NA,5.36E-07,4,627
O62024,clec-222,NA,-0.349138777,0.773072286,1.484227004,1.089359428,1.62E-77,29.8,252
O62025,clec-147,NA,NA,2.132577925,2.996196304,3.277184274,3.68E-86,12.2,263
O62053,C08F11.11,-4.351698992,-1.641361056,1.285530264,2.511855224,3.122051628,3.44E-197,32.4,111
O62055,,-0.307778227,-2.035483152,-2.422259916,-2.611030701,-1.200002066,2.59E-289,17.4,1642
O62071,,NA,NA,NA,NA,NA,1.60E-17,6.5,657
O62078,,0.214156545,-1.194528369,NA,-0.956874444,NA,1.11E-68,30.6,592
O62092;O62091,fipr-22;fipr-23,NA,NA,NA,NA,NA,3.62E-43,25.1,191
Q93383;O62100,,NA,NA,NA,NA,NA,4.25E-06,5.1,488
O62102,pbs-2,-0.323773564,0.022038736,0.105612927,0.45911967,0.386053514,2.69E-167,49.8,277
O62103,prx-11,NA,NA,0.025529424,NA,NA,2.04E-90,24.8,214
O62105;Q9U3L5,,-0.476433536,0.082362024,0.279528896,0.23633348,0.396650204,7.80E-69,29.6,307
O62106,eif-6,NA,NA,NA,NA,NA,2.87E-25,9.3,246
O62107;Q564Q1,gale-1,-0.062950609,-0.117429084,-0.772899122,-0.950095094,-1.197739606,0,75.5,347
O62109;O62108,selb-1,NA,NA,NA,NA,NA,1.20E-05,3.1,459
O62122,gcsh-1,0.098351089,NA,NA,NA,NA,1.41E-16,30.4,148
O62125,,-1.730792097,-0.308477377,1.990050935,2.520272757,2.926097525,4.02E-70,31,216
O62132,,NA,NA,NA,NA,NA,3.68E-13,17.8,398
O62136-2;O62136,inx-14,-2.270080366,1.149824666,1.565160971,1.294880232,1.185474186,7.61E-55,20.4,432
O62137,,1.283632397,0.016059689,0.358435475,-0.749319725,-1.563695074,2.48E-126,28,661
O62138,,NA,NA,NA,NA,NA,5.61E-114,21.5,660
O62139,,0.587402718,0.646699295,0.209394757,0.154650462,NA,3.38E-125,22.4,662
Q2L6T9;O62140;Q7JK62,acox-1,0.183703404,-0.368712484,-0.054501216,-0.546561136,-1.033933911,7.30E-86,24.5,645
O62146,F09B12.3,-0.101246657,-1.207830396,-1.0528332,-1.806241556,-2.099126852,0,44.8,582
O62149,scrm-4,NA,NA,0.538743871,0.664997036,1.193502706,2.37E-18,21.2,260
O62173,,NA,NA,NA,NA,NA,2.78E-09,21.5,209
O62183,aly-2,-0.228356954,0.201924594,-0.175301034,-0.399116393,-0.309292623,5.28E-94,43.2,227
O62185,rsr-1,-0.00273852,-0.159758338,-0.765619608,NA,-0.526769951,9.46E-31,11.3,601
O62191,,0.312133061,NA,NA,NA,NA,1.10E-14,1.7,2132
O62193,F31C3.5,NA,NA,0.093371037,NA,NA,6.42E-22,22.2,180
O62197,,NA,NA,NA,NA,NA,1.61E-37,13,353
O62198,,0.032418199,-0.022900402,0.376058244,-0.068326861,0.320558185,9.67E-180,39.8,319
O62203;F5GUF6;Q7Z0X2,,0.025558794,-0.046141782,-0.561888195,-0.631895859,NA,3.18E-34,9,1073
O62204,,3.45589846,NA,NA,NA,NA,6.99E-07,8.4,167
O62208;P91868,gei-11,NA,NA,NA,1.272645846,NA,9.49E-14,7,928
Q95ZU4;O62210,,NA,NA,NA,NA,NA,0.00043386,12.5,96
O62213,cey-1,0.401844449,-0.659285248,-0.877116001,-0.807849476,-0.867263911,6.02E-229,38.9,208
O62214,,0.583117032,0.190091708,0.207527752,0.126958545,-0.04558276,6.67E-239,38.1,467
O62216,,0.17156339,-0.404358195,-0.064882852,-0.530170648,-0.755656734,1.97E-124,38.2,301
O62217,dog-1,NA,NA,NA,NA,NA,1.15E-11,4,983
O62218,,NA,0.408186563,0.285706119,0.547699776,0.437857728,3.47E-127,14,2144
O62219,,-0.362666256,-0.613154428,-0.163369914,-0.198242682,-0.049212535,1.68E-58,11.4,816
O62220,F33H2.3,-0.46967763,-1.190488441,-1.088073736,-0.545968369,-0.058108649,0,60.7,229
O62231,,NA,NA,NA,NA,NA,0.00051195,1.9,643
O62234;B3WFX8,,0.701623213,NA,NA,-0.016638942,-0.143785225,6.37E-20,30.9,162
O62235;Q38G51,rbpl-1,-0.22428729,-0.649293547,-0.375512141,-0.127765328,-0.053806444,1.30E-50,11.7,1128
O62236,syx-7,NA,NA,NA,NA,NA,1.50E-09,7.7,248
O62238,syp-3,NA,NA,NA,NA,NA,1.06E-145,42.9,224
O62244;Q5FC20,myo-6,0.096622312,-0.958285901,-1.316319551,-1.487383443,-1.025879273,2.82E-154,18,1235
O62245,exo-1,-0.069564695,NA,NA,NA,1.552283285,3.34E-39,9.1,639
O62246,F45G2.4,0.340988829,-0.055612157,0.001169057,-0.028993412,0.158381059,0,79.5,292
O62250,tim-16,0.455791606,0.004927997,-0.032665112,-0.353662045,-0.153935011,8.60E-48,69.1,136
O62252,F45G2.10,NA,0.242225723,-0.023610215,-0.011781859,-0.200378798,4.28E-96,46.2,160
O62255;O62255-1,dcap-2,-0.456806149,0.276432702,NA,0.19272752,NA,2.17E-68,18.2,786
O62256,,0.435007323,NA,0.008493573,-0.112366523,-0.13842131,1.20E-09,8,651
O62258,,-0.292781749,-0.417812018,-0.437121184,-0.114233744,0.014368422,4.14E-58,23.6,368
O62261,,NA,NA,NA,NA,NA,3.07E-07,8.7,253
O62265,,-0.344487663,0.125195167,0.234584069,-0.154971988,-0.12631213,6.92E-130,40.8,387
O62274,arrd-10,NA,NA,NA,0.114347549,0.077923967,3.24E-15,9.3,421
O62275,wago-4,-1.226446875,0.844898442,1.029499702,0.63153335,0.415133682,0,50.9,965
O62277,dct-18,0.444713912,-0.320080262,-1.860128514,-3.371558863,-3.709511214,1.77E-174,82.5,223
O62289,ttr-51,-3.795247451,-1.21350282,2.034101228,3.555426218,4.375661367,8.70E-160,42,138
O62301,smg-8,-0.620117165,0.305467433,0.33233491,0.607858459,0.320594219,5.23E-93,19.5,873
O62303,,NA,NA,NA,NA,NA,4.94E-26,9.6,228
O62305-12,unc-43,NA,NA,-0.015497569,NA,0.496142467,1.80E-282,57,309
O62317,,-0.698574107,-0.510050456,-0.303926836,0.489888762,0.674084042,1.76E-163,58.8,469
O62324,,0.662757039,NA,NA,0.215395514,NA,2.01E-51,28,250
O62325,rbm-28,0.712669558,-0.06942721,-0.329295848,-0.806695254,-1.018990175,7.34E-85,38.7,608
O62327,gpx-2,-0.132905812,-0.158595552,0.130870855,0.083660944,0.030633972,7.78E-281,71.2,163
O62328,cdh-7,0.346591393,NA,NA,-0.142217362,NA,7.82E-228,24.7,1364
O62329,,NA,NA,NA,NA,NA,3.25E-51,16.5,837
O62332;O62333,imb-2,-0.503552276,-0.023326332,-0.308244364,-0.220825216,-0.187134291,1.39E-129,22,883
O62334,agl-1,-0.502025022,-0.154194325,0.289562723,0.221000892,-0.004753055,7.29E-287,33.2,1467
O62336,fdps-1,-0.310689118,-0.539233271,0.144967103,0.517151717,0.678441282,4.55E-59,19.6,352
O62347,,-1.144633773,0.051309454,0.621621555,0.294844835,-0.003746139,8.50E-41,33.9,289
O62349,,-0.479644475,-0.64791311,-0.76994096,-0.392317423,-0.642100805,2.94E-95,26.8,370
O62360,dnj-17,0.178877594,-0.074231394,-0.007626092,NA,NA,7.96E-31,10.6,510
O62366,,NA,NA,NA,NA,NA,4.24E-25,23.8,323
O62376;Q9U372,,NA,NA,NA,NA,NA,7.02E-43,14.9,456
O62388;P49622,rpl-37,0.768149836,0.329721627,0.055981185,-0.328721595,-0.518031493,5.90E-20,45.7,92
O62390,,-3.278698482,-0.090582476,0.719946395,1.10125763,1.399121322,0,49.8,307
O62415,lys-1,NA,NA,NA,NA,NA,5.42E-30,5.7,298
O62416,lys-2,NA,NA,NA,NA,NA,5.39E-78,13.6,279
O62418,ekl-5,NA,NA,NA,NA,NA,4.56E-13,10.8,453
O62421,,NA,NA,-0.524264315,-0.715541987,-0.20614307,3.78E-28,8.7,758
O62431;D3YT95;D3YT96,ers-1;qars-1,-0.115832299,0.080865895,0.162767183,0.286990508,0.245693968,0,60.7,786
O62432,dpy-4,2.639894224,-2.679176046,NA,NA,NA,2.92E-86,16.3,289
O62433,,NA,NA,NA,NA,NA,7.81E-06,4.2,520
O62436,,0.374318039,0.254908989,0.56166456,0.224772426,0.286726499,9.17E-43,11.7,682
Q2XMY1;O62444;Q2EEM2;D3YT98,,0.008333948,NA,-0.106884289,-0.165815488,-0.001874286,6.13E-63,16.7,396
O62452,,NA,NA,NA,NA,NA,1.21E-06,8.3,325
O62460,,NA,NA,NA,NA,NA,1.33E-20,18.8,272
O62461,seld-1,0.064570427,0.02180437,0.233430279,-0.033229161,0.192480208,1.13E-105,37,378
O62477,,0.396574237,-0.022758398,-0.178619043,-0.227864273,-0.360757558,0,34,924
O62479,sas-6,NA,NA,NA,NA,NA,1.11E-40,26.6,492
O62481;Q2HQM1,lact-9,-0.371391584,-0.524464926,-0.01834931,-0.099766486,-0.158078456,1.69E-58,31.4,407
O62483,,NA,NA,NA,NA,NA,2.81E-29,15.2,369
O62512,,0.264252555,-0.010063683,-0.133826527,-0.193582525,-0.148088083,1.65E-152,23.3,772
O62514,,NA,NA,NA,NA,NA,1.18E-08,7.6,328
O62515,ZK550.6,-0.22527493,0.186984346,0.306198611,0.33666449,-0.134352387,1.75E-80,38.5,312
O62518,ZK795.3,0.41203981,0.411003598,-0.289598422,-0.448478121,NA,1.60E-107,48.3,292
O62519,,-1.265796925,-0.089226942,0.242942607,0.737109871,0.907576039,1.88E-31,24.2,297
O76258,tsg-101,-0.407950917,-0.110764122,0.621022351,0.259616385,0.539834105,1.10E-165,23.1,425
O76337,ced-6,NA,-0.05963216,NA,0.59867536,0.688985228,4.46E-131,26.4,492
O76357,ilys-3,NA,-1.017921908,2.622287629,1.879913529,3.179841465,0,72.7,139
O76358,ilys-2,NA,NA,2.982334594,3.447941705,3.926492327,3.50E-146,46.8,139
O76360-2;O76360-5;O76360-3;O76360;O76360-6;O76360-4,egl-4,-0.144176924,-0.308477377,-0.092207438,-0.256165277,-0.29172142,0,45.5,737
O76365,tut-1,-0.151209393,-0.019203734,0.030309804,-0.208142647,0.197153323,1.69E-43,25.7,373
O76367,,-0.077242999,0.288434612,0.39554907,-0.040120917,-0.080794082,3.28E-41,30,90
O76371,rpt-5,-0.231923873,0.127588845,0.160685337,0.083125953,0.184867284,0,69.5,430
O76373,ccpp-1,NA,NA,NA,NA,NA,3.83E-11,4.5,1015
O76383,hpo-15,NA,NA,NA,NA,NA,1.50E-09,6.3,527
O76384,mms-19,-0.440527032,0.284668885,0.155742914,0.178632644,0.242225723,1.97E-146,19.1,922
O76387,C24G6.8,NA,NA,NA,NA,NA,0.00016349,3.8,316
O76388,syp-2,0.766651825,0.824341275,0.540253646,0.105907889,-0.122606463,7.78E-75,33.8,213
O76406,knl-3,NA,NA,0.030692919,0.097440136,0.18227852,6.42E-62,46.9,343
O76407,,0.606276292,0.128045986,-0.445302942,-0.762731499,-0.913875539,8.96E-88,21.7,295
O76410,,NA,1.553553188,3.103704898,NA,NA,2.83E-292,46.8,451
O76413,syx-18,0.300235177,-0.005759269,0.08254533,0.37553409,-0.033933911,5.95E-74,32.3,415
O76430,,0.771840098,1.353100051,NA,NA,NA,3.19E-18,12.1,429
O76438,dod-3,NA,-0.148999163,0.653559312,NA,NA,0.00014713,12.3,106
O76447,hcp-1,-1.921283979,0.211848875,0.128361339,0.44864641,0.769059224,0,56.4,1475
O76449,,-0.44498504,-0.787098082,-0.077926579,0.203651438,0.215680292,0,55.3,570
O76463,nft-1,0.012286221,-0.061707085,-0.318577154,-0.115565996,-0.241962182,1.75E-145,36.8,440
O76512,smg-2,-0.491699201,0.246292784,0.429614792,0.520003792,0.627917123,8.58E-212,32.6,1069
O76555,mlt-10,-0.707171362,-1.257734802,NA,-2.198902702,NA,9.26E-81,19.1,690
O76558;O17192,math-20,0.44874486,-0.008056555,NA,-0.989792978,NA,2.74E-44,27.1,436
O76561,,-1.338681125,-1.343578377,-1.624194497,NA,NA,5.43E-69,35.8,374
O76565,F13C5.5,NA,NA,NA,NA,NA,0.00021965,5.5,219
O76566,unc-96,0.072725499,-0.751635103,-0.649937299,-0.98848474,-1.232230954,1.65E-108,30.4,408
O76576,pqn-48,-0.572792677,-0.293017272,NA,NA,NA,1.23E-17,9.4,319
O76577,rpn-11,-0.478505927,0.015622102,0.127967158,0.248810533,0.326950191,5.18E-96,38.8,312
O76602,,NA,NA,NA,NA,NA,1.94E-05,1.5,1275
O76606,mrpl-28,0.521597622,-0.151728955,-0.090311471,-0.175173266,-0.169925001,8.80E-100,58.7,310
O76616,,-0.896233092,0.435943821,0.931865786,0.715604319,0.703290051,1.39E-249,39.4,307
Q965I6;O76618;Q4W4Y8,cars-1,-0.183454754,0.203701281,0.154297199,0.296225964,0.287589108,2.75E-291,49.1,908
O76628,,NA,-0.017066724,1.304255563,2.335844875,2.400872674,8.63E-48,27,137
O76630,emc-2,0.144137839,-0.030971642,-0.062259894,-0.188400925,-0.257131341,5.30E-161,52.4,294
O76634,,NA,NA,NA,NA,NA,2.37E-08,10.7,506
O76636,,-0.096936483,NA,NA,NA,NA,3.01E-09,8.3,396
O76638,fbxa-3,NA,-0.553753689,0.226915139,0.241696823,0.270294974,1.90E-08,10.9,293
O76651,,NA,0.153911919,NA,NA,NA,2.31E-25,11.2,409
O76654,try-8,NA,NA,NA,NA,NA,4.30E-08,7.7,401
O76657,,-0.383496944,NA,0.013130388,0.059179251,2.094187019,1.79E-23,9.6,1062
O76670,,0.853422975,NA,NA,NA,NA,1.03E-68,26.3,236
O76672,,NA,-1.153805336,-0.515611539,NA,NA,2.61E-24,8.3,458
O76677,,NA,-0.454702328,NA,0.315235112,0.085496706,8.96E-72,19.2,609
O76679,,NA,NA,NA,NA,NA,1.29E-24,20.3,192
O76686,,NA,NA,NA,NA,0.368811883,2.03E-38,11.8,891
O76687,,-0.16748639,-0.051859299,-0.048933645,-0.336968862,-0.076148597,7.48E-18,16.1,384
O76722,nlp-47,NA,NA,NA,NA,NA,6.88E-25,23.6,89
O76725,,-0.879627357,-0.259423152,-0.972251508,-0.857582955,-1.128755306,4.56E-92,22.9,512
O76743,glh-4,0.228148219,0.838512137,0.853240522,0.663533787,0.279143697,0,51.6,1156
O76835,esyt-2,0.019755295,-0.290896181,-0.236217064,-0.155231116,-0.208766947,2.38E-42,26.1,713
O76836,,-1.788393384,-0.200880954,0.181951159,0.529489165,0.75628218,0,50.2,1028
O76840;O76840-2;O76840-3,mig-6,-0.312665174,-0.228356954,0.087365463,0.306252126,0.63039393,0,27.2,2167
O77081,tpst-1,0.392553683,NA,0.437564619,-0.232415171,NA,8.51E-21,15.5,380
O77469-2,fbl-1,0.153270015,-0.455754622,NA,-0.352984458,0.1009172,2.03E-79,18.3,712
P02513,hsp-16.48,-1.695949285,1.079264621,1.459020509,2.169420147,2.030972952,5.81E-44,58.7,143
P02566,unc-54,0.104852516,0.036881045,0.086063205,-0.232169543,-0.363227157,0,72.3,1966
P02567,let-75,-0.112233058,-0.840362519,-0.965396436,-1.123467556,-1.158272389,0,67.8,1938
P04255;Q27894;Q22979,his-11;his-4;his-39,-1.18142064,-1.548189989,-1.18719765,-0.727615551,-0.356031095,4.41E-130,73,122
P04970,gpd-1,NA,0.796786312,0.861185531,1.130049652,1.133115754,0,80.4,341
P05634,msp-10,NA,NA,NA,NA,NA,1.08E-48,61.4,127
P05690,vit-2,-5.354452161,0.212517385,2.00364018,2.437291103,2.612196335,0,72.5,1613
P06125,vit-5,-5.297448232,1.62669145,4.005805529,3.977690429,4.142034924,0,69.4,1603
P06581,hsp-16.41,NA,NA,1.984045773,2.091663587,2.259944579,2.31E-37,57.3,143
P06582,hsp-16.2,NA,NA,NA,3.196012545,2.327203565,7.00E-138,64.1,145
P08124;G5ED38,sqt-3,NA,-1.639463717,-2.185454288,NA,NA,2.50E-49,11.3,301
P09446,hsp-1,-0.054640131,0.041669549,-0.060877473,0.114644302,0.24376234,0,75.5,640
Q27485;P09588,his-35;his-3,-1.08106688,-1.296251818,-1.029841557,-0.588612707,-0.126972856,2.74E-265,51.2,127
P10299,gst-1,-0.598460492,0.318847625,0.468910539,0.925631578,0.758281825,1.74E-181,48.6,208
P10567,unc-15,0.126564747,-0.166201253,0.042724265,-0.041663532,-0.183073576,0,67.3,882
P10771,his-24,-1.733441117,-1.637100124,-1.738681381,-0.751977807,-0.295723025,2.67E-71,34.6,208
P10984;P10986;P10983;Q6A8K1,act-2;act-4;act-3,-0.18027519,-0.028286243,0.200962443,0.32461762,0.167539315,0,65.2,376
P11141,hsp-6,0.156980954,-0.035342381,0.05835278,0.246994572,0.261223518,0,68.8,657
P12114,sqt-1,0.095650785,NA,NA,NA,NA,8.55E-84,28.7,324
P12456,mec-7,-0.475396222,-0.478713002,-0.244034582,-0.239520247,-0.074779426,2.91E-236,35.8,441
