Uniprot ID,Gene Name,Log2 Ratio L/H AgWTD01.1,Log2 Ratio L/H AgWTD01.2,Log2 Ratio L/H AgWTD01.3,Log2 Ratio L/H AgWTD01.4,Log2 Ratio L/H AgWTD12.1,Log2 Ratio L/H AgWTD12.2,Log2 Ratio L/H AgWTD12.3,Log2 Ratio L/H AgWTD12.4,log abs.LFQ AgWTD01.1,log abs.LFQ AgWTD01.2,log abs.LFQ AgWTD01.3,log abs.LFQ AgWTD01.4,log abs.LFQ AgWTD12.1,log abs.LFQ AgWTD12.2,log abs.LFQ AgWTD12.3,log abs.LFQ AgWTD12.4,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgWTD01.1 Corrected,log abs.LFQ AgWTD01.2 Corrected,log abs.LFQ AgWTD01.3 Corrected,log abs.LFQ AgWTD01.4 Corrected,log abs.LFQ AgWTD12.1 Corrected,log abs.LFQ AgWTD12.2 Corrected,log abs.LFQ AgWTD12.3 Corrected,log abs.LFQ AgWTD12.4 Corrected
G5ECG9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.290880105,4.833332014,3.98E-74,31.9,270,NA,NA,NA,NA,NA,NA,5.549807627,5.098400946
G5ECH0,hda-3,NA,NA,NA,NA,0.799319887,NA,0.984559523,NA,NA,NA,NA,NA,5.780245284,5.519591757,5.451110682,4.906652833,1.87E-72,15.1,465,NA,NA,NA,NA,5.39240644,5.018767738,5.710038204,5.171721765
G5ECH1;G5EBK6,,NA,NA,NA,NA,NA,0.822401071,NA,NA,NA,4.056485593,NA,NA,NA,4.872668962,NA,NA,2.14E-29,15.9,809,NA,3.756473138,NA,NA,NA,4.371844943,NA,NA
G5EFI6;G5ECH5;G5EFN0,ppfr-1,0.460310127,0.020750197,-0.725872007,NA,0.998039268,0.830947291,NA,0.755112941,5.360971884,5.562518877,4.386819886,4.032538179,5.720026927,5.683001985,NA,4.539665636,9.73E-104,14.5,1490,4.966033626,5.262506422,4.70478567,4.734712304,5.332188083,5.182177965,NA,4.804734568
G5ECH7,cdk-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.573950192,NA,NA,NA,5.284723925,NA,NA,3.26E-09,21.2,292,NA,4.273937737,NA,NA,NA,4.783899905,NA,NA
G5ECH8;Q27394;Q5WRN8,let-653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81E-93,15.6,693,NA,NA,NA,NA,NA,NA,NA,NA
G5ECH9,,NA,NA,NA,NA,NA,NA,NA,NA,5.124047519,NA,NA,NA,NA,NA,NA,NA,3.60E-29,9,491,4.729109261,NA,NA,NA,NA,NA,NA,NA
G5ECI1,mtd-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00010056,4.7,278,NA,NA,NA,NA,NA,NA,NA,NA
G5ECJ4,mec-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.651113183,NA,NA,1.15E-19,6.7,312,NA,NA,NA,NA,NA,5.150289164,NA,NA
G5ECJ5,bir-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97163761,5.052501563,NA,NA,1.39E-10,17.2,308,NA,NA,NA,NA,4.583798767,4.551677544,NA,NA
G5ECJ6,csk-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89E-24,13,539,NA,NA,NA,NA,NA,NA,NA,NA
G5ECJ8,fmo-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47E-78,19.1,512,NA,NA,NA,NA,NA,NA,NA,NA
G5EE73;G5ECK4;G5EEI6;G5EEQ7,,0.142815194,-0.147176427,NA,NA,0.72549381,0.503772878,NA,NA,5.566154549,4.770594303,NA,NA,5.262498551,5.456441952,NA,NA,5.87E-133,19,1386,5.171216291,4.470581848,NA,NA,4.874659707,4.955617933,NA,NA
G5ECK7;G5ED34,dli-1,0.020120988,-0.751292319,NA,-0.879392103,1.06815056,0.416789032,NA,NA,5.847954966,5.189799011,NA,4.332074712,6.290924559,5.861032322,NA,4.729156687,1.20E-301,45.4,441,5.453016708,4.889786555,NA,5.034248837,5.903085716,5.360208303,NA,4.994225619
G5ECL1,,NA,-1.49559284,NA,NA,0.915119346,0.511608391,0.578994889,0.72730789,4.274665769,4.386498966,4.052116551,NA,6.045205586,6.005823753,5.307260642,5.23884868,4.69E-200,42,521,3.879727511,4.08648651,4.370082334,NA,5.657366742,5.504999734,5.566188164,5.503917612
G5EEJ9;G5ECL2;G5EDR8;B3CJ53,unc-26,NA,NA,NA,NA,NA,NA,NA,NA,4.774363658,4.54329804,NA,NA,NA,NA,NA,NA,2.60E-27,10.3,1113,4.3794254,4.243285585,NA,NA,NA,NA,NA,NA
G5ECL3,prp-21,NA,NA,NA,NA,0.687358058,NA,0.927770692,0.921007683,4.815132601,4.37485828,3.920790958,NA,5.932570151,4.711419142,4.769746467,4.682271464,1.70E-182,36,655,4.420194343,4.074845825,4.238756742,NA,5.544731308,4.210595123,5.028673989,4.947340396
G5ECL4,bam-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81E-46,8.6,1007,NA,NA,NA,NA,NA,NA,NA,NA
G5ECM1;G3MU40,rrf-1,-1.510506259,-1.058316496,NA,NA,0.505819951,0.842542302,0.757598708,0.51471745,3.792755784,4.436560171,NA,NA,4.823989078,5.101643985,4.42078062,3.675888276,1.47E-97,16.2,1601,3.397817526,4.136547715,NA,NA,4.436150234,4.600819966,4.679708142,3.940957207
G5ECM4,gtl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40E-33,5.9,1694,NA,NA,NA,NA,NA,NA,NA,NA
G5ECM6,tufm-1,-0.606536983,-0.649017565,-0.733441117,-0.633198686,0.622221008,0.640973681,0.660634539,0.532637039,6.944290158,6.794390441,6.093701785,5.877325264,7.403943698,7.252318933,6.402656797,6.352143912,1.32E-299,55.4,496,6.5493519,6.494377986,6.411667569,6.579499389,7.016104855,6.751494914,6.66158432,6.617212844
G5ECM9;Q86S25,cpi-2,-0.902189376,-1.401248173,NA,NA,NA,0.33684669,0.097640805,NA,5.80962031,6.103221992,NA,4.264109156,5.694640292,6.236461682,5.532614261,5.201205883,0,66.4,143,5.414682052,5.803209537,NA,4.966283281,5.306801448,5.735637662,5.791541784,5.466274815
G5ECN2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.91E-19,15.4,506,NA,NA,NA,NA,NA,NA,NA,NA
G5ECN5,strd-1,NA,NA,NA,NA,0.576669246,0.852719355,NA,NA,5.156003669,4.714581209,4.359133216,4.414739434,5.726278831,5.710734928,5.171199717,NA,2.50E-56,20.4,388,4.761065411,4.414568754,4.677099,5.116913559,5.338439988,5.209910908,5.430127239,NA
G5ECN9;Q18772;E9P883,egl-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.90E-92,13.8,652,NA,NA,NA,NA,NA,NA,NA,NA
G5ECP8;Q8MQ91;G5ECN6,nspc-16;nspc-18;nspc-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22E-42,44.7,103,NA,NA,NA,NA,NA,NA,NA,NA
G5ECP9;G5EEC4;G5EFW2;G5ECG8;G5EFK7,vab-10,0.177131197,-0.113567157,0.006811147,0.052640554,0.290462318,0.217910205,0.340477261,0.425152505,7.187069271,7.1067347,6.504076488,6.478032317,7.427745699,7.519066327,6.806458105,6.67881873,0,40.7,3424,6.792131013,6.806722245,6.822042272,7.180206441,7.039906856,7.018242308,7.065385627,6.943887662
G5ECQ3;G5EFY9,sel-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.373151167,NA,NA,4.539113753,4.345510958,NA,NA,3.18E-24,8.5,1077,NA,4.073138712,NA,NA,4.151274909,3.844686938,NA,NA
G5ECQ4,sth-1,-0.396926676,-0.768163147,-0.795185099,NA,0.482794868,0.027689665,0.35274997,-0.060739158,6.554586063,6.378488748,5.594503044,5.041629508,6.093456707,6.705264862,5.947825684,6.139847615,4.46E-51,81.5,119,6.159647805,6.078476293,5.912468828,5.743803633,5.705617864,6.204440843,6.206753207,6.404916546
G5ECQ5,pes-2.1,NA,NA,NA,NA,0.953299413,0.649095461,NA,NA,NA,NA,NA,5.057323705,5.821133436,5.41717265,5.772380391,5.785493555,3.76E-44,29,331,NA,NA,NA,5.75949783,5.433294593,4.91634863,6.031307913,6.050562486
G5ECQ8,cin-4,-1.462942273,-1.999603204,-2.066226994,-1.759581973,0.356051481,-0.352532557,NA,NA,4.823702402,4.842459457,4.549138191,4.100887255,5.633952979,5.485707234,4.29989936,5.134463992,8.09E-131,20.9,842,4.428764144,4.542447002,4.867103975,4.803061379,5.246114135,4.984883214,4.558826882,5.399532923
G5ECR0,,0.208794385,0.099741788,0.02585252,0.165612385,0.717927959,0.681862512,0.783538926,0.834853415,6.516112111,6.287734566,5.69619907,5.53518015,6.684746647,6.755928187,6.046495164,5.89072274,0,21.6,2103,6.121173853,5.987722111,6.014164854,6.237354275,6.296907804,6.255104167,6.305422687,6.155791672
G5ECR1,mbd-2,-0.203639694,-0.454281196,NA,NA,NA,0.393728347,NA,0.237285507,5.75198695,5.710751835,4.845439137,NA,NA,5.664500948,5.122478015,5.331062701,2.07E-60,43.8,210,5.357048692,5.41073938,5.163404921,NA,NA,5.163676929,5.381405537,5.596131632
G5ECR3,slcf-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61E-17,3.8,450,NA,NA,NA,NA,NA,NA,NA,NA
G5ECR4;G5ECT0,pbo-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95E-41,8.9,504,NA,NA,NA,NA,NA,NA,NA,NA
G5ECR6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99E-27,15.5,330,NA,NA,NA,NA,NA,NA,NA,NA
G5ECR7,elb-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.809431764,6.257870486,6.432472212,2.26E-51,58.5,118,NA,NA,NA,NA,NA,6.308607745,6.516798008,6.697541144
G5ECR8;G5EEA6;G5EFK0;Q8MQ76,gba-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.84E-59,27.2,522,NA,NA,NA,NA,NA,NA,NA,NA
G5ECS4,glf-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23E-188,43.1,476,NA,NA,NA,NA,NA,NA,NA,NA
G5ECS9;G5EFE6,cpt-2,-0.623679608,-0.751549415,-0.671565126,-0.451118776,0.63099704,0.713402689,1.09434103,0.820055888,5.554355883,5.759569645,5.223885152,4.940994344,6.494502447,6.501127758,5.520470432,5.380916397,0,57.7,646,5.159417625,5.45955719,5.541850936,5.643168469,6.106663603,6.000303738,5.779397954,5.645985329
G5ECT4;G5EG19;G5EDL2;Q8I0G4,dhhc-4;ZK757.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38E-07,5.7,405,NA,NA,NA,NA,NA,NA,NA,NA
G5ECT7,spat-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.738106404,4.477150207,5.508906617,5.052463077,4.851686315,4.660761159,1.75E-09,5.3,545,NA,NA,5.056072187,5.179324331,5.121067774,4.551639058,5.110613838,4.925830091
G5ECU1,skr-1,-1.110363243,-1.135469202,NA,NA,NA,0.483964676,0.876731113,0.695278702,6.062393937,6.01978073,NA,NA,5.005866602,6.673481697,5.727500591,5.921743684,7.17E-99,54.5,176,5.667455679,5.719768275,NA,NA,4.618027758,6.172657678,5.986428113,6.186812616
G5ECU2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34E-48,5.9,1342,NA,NA,NA,NA,NA,NA,NA,NA
P40614;G5ECU3,F01G4.6,1.600599187,0.483621703,0.134318686,NA,0.463628747,-0.044044333,0.216082427,0.517688634,6.724570762,6.355604751,5.510263432,NA,6.19080776,6.473428574,5.594977846,5.54312398,0,55.6,340,6.329632504,6.055592296,5.828229216,NA,5.802968917,5.972604554,5.853905368,5.808192911
G5ECU5,,-2.349336967,-2.495490511,NA,NA,0.040630443,-0.783749983,-0.161049225,0.238272198,4.603858584,4.693726949,3.707834079,NA,6.440672988,6.217062606,5.237015629,5.433913775,0,52.4,645,4.208920326,4.393714494,4.025799863,NA,6.052834145,5.716238587,5.495943151,5.698982707
O62022;G5ECV7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18E-12,10.4,337,NA,NA,NA,NA,NA,NA,NA,NA
G5ECV9,alh-3,0.393993726,0.088668897,-0.291839273,NA,0.075854496,0.096498907,0.303703431,NA,5.849302685,5.758230408,4.204635401,3.288428095,5.474230837,5.472814936,4.442181775,4.235705159,0,55.1,908,5.454364427,5.458217953,4.522601185,3.990602219,5.086391994,4.971990917,4.701109298,4.50077409
G5ECW0,ncx-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34E-124,19.5,807,NA,NA,NA,NA,NA,NA,NA,NA
G5ECW3,ehbp-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32E-56,13.5,901,NA,NA,NA,NA,NA,NA,NA,NA
G5ECW9,rme-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.017158598,NA,NA,6.21E-30,7.7,661,NA,NA,NA,NA,NA,4.516334579,NA,NA
G5ECX7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.79E-89,12.5,521,NA,NA,NA,NA,NA,NA,NA,NA
G5EDV6;G5ECX8,,0.086645245,-0.377956634,NA,NA,0.933352788,0.87696955,NA,NA,5.828144107,5.472171147,NA,NA,6.311775046,5.955658893,NA,4.327522403,8.99E-34,20.8,432,5.433205849,5.172158692,NA,NA,5.923936202,5.454834873,NA,4.592591334
G5ECX9,cdr-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55E-226,45.3,278,NA,NA,NA,NA,NA,NA,NA,NA
G5ECY0;Q7Z124,dlg-1,-0.488720653,-0.683202373,-0.593592806,-0.688493711,-0.123268887,0.562516562,0.46697496,0.510251567,6.580149164,6.473340964,5.938854823,5.713070326,6.933411356,7.069816043,6.344411925,6.227423896,0,30.2,967,6.185210906,6.173328509,6.256820607,6.41524445,6.545572512,6.568992023,6.603339447,6.492492828
G5ECY2,srp-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43E-137,21.3,362,NA,NA,NA,NA,NA,NA,NA,NA
G5ECY4;G5EFA9,skr-8;skr-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10E-31,41.2,194,NA,NA,NA,NA,NA,NA,NA,NA
G5ECY6,chn-1,NA,NA,NA,NA,NA,0.839673529,NA,NA,NA,4.634406729,NA,NA,NA,5.522405106,NA,NA,5.05E-82,41.7,266,NA,4.334394274,NA,NA,NA,5.021581087,NA,NA
G5EFU5;G5ECY9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.51E-34,6.8,718,NA,NA,NA,NA,NA,NA,NA,NA
G5ECZ0,hum-5,-0.279411863,-0.708849377,NA,NA,0.883102982,1.123874046,NA,NA,5.224895471,4.85704287,NA,NA,5.87002915,5.898121576,3.949853332,4.383204771,0,39.4,1017,4.829957213,4.557030415,NA,NA,5.482190306,5.397297556,4.208780854,4.648273703
G5ECZ2;G5EDI2,ret-1,-0.213876043,-0.367035516,NA,NA,1.447996809,0.869754408,0.674774789,0.723157963,4.808643026,4.925415237,NA,3.381385866,5.047508506,5.210666244,4.188337779,4.357343957,0,18,3299,4.413704768,4.625402782,NA,4.083559991,4.659669662,4.709842225,4.447265301,4.622412889
G5ECZ6;Q10003,T05H10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80E-73,13.6,719,NA,NA,NA,NA,NA,NA,NA,NA
G5EFB4;G5ECZ9;Q9BI98,bpl-1,NA,NA,NA,NA,NA,NA,NA,NA,3.844321821,NA,NA,NA,NA,NA,NA,NA,6.90E-10,8.8,558,3.449383563,NA,NA,NA,NA,NA,NA,NA
G5ED01,inos-1,NA,NA,NA,NA,0.343055217,NA,NA,NA,4.033383541,NA,3.612041745,5.216271493,5.116972823,NA,NA,NA,1.08E-254,54.3,525,3.638445283,NA,3.930007528,5.918445617,4.729133979,NA,NA,NA
G5ED04,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.230831953,NA,NA,1.22E-49,38.9,355,NA,NA,NA,NA,NA,4.730007934,NA,NA
G5ED07,pdi-3,-0.911653237,-1.228049048,-1.559638645,-1.059839787,0.46635692,0.208911104,0.504018373,0.405566106,6.323375872,6.158090973,5.476208277,5.331791587,6.810608833,6.658259494,5.90759407,5.806661502,0,78.9,488,5.928437614,5.858078518,5.794174061,6.033965711,6.42276999,6.157435475,6.166521592,6.071730434
Q21190;G5ED08,unc-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65E-13,8.8,285,NA,NA,NA,NA,NA,NA,NA,NA
G5ED11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.80E-25,4.3,487,NA,NA,NA,NA,NA,NA,NA,NA
G5ED13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28E-63,23.7,452,NA,NA,NA,NA,NA,NA,NA,NA
G5ED16;G5EGR4;D3KFT0;D3KFS9,tag-241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55E-19,6.2,1593,NA,NA,NA,NA,NA,NA,NA,NA
G5ED17,hpo-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03E-43,17.3,649,NA,NA,NA,NA,NA,NA,NA,NA
G5ED20,tam-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00081691,1.7,944,NA,NA,NA,NA,NA,NA,NA,NA
G5ED21;G5EDG7,rpoa-1,0.487176434,0.174198094,NA,NA,0.89001101,0.432843996,NA,NA,4.898330189,4.837304286,3.751071147,NA,5.142107772,5.183981219,NA,NA,4.61E-195,21.8,1737,4.503391931,4.537291831,4.069036931,NA,4.754268928,4.6831572,NA,NA
G5ED26,mel-46,NA,NA,NA,NA,NA,NA,NA,NA,4.606230841,4.003201947,NA,NA,4.23869831,4.396774537,NA,NA,6.68E-84,24.7,973,4.211292583,3.703189491,NA,NA,3.850859466,3.895950518,NA,NA
G5ED27;G5EG33;G5EDG4;A4UVK0,him-4,1.09508051,0.385978103,-0.081612323,-0.726744042,0.659471912,0.076873644,0.894724217,0.474191698,5.476556305,4.924971537,3.726425624,3.246843122,5.106598813,4.805324114,4.028611915,3.367523642,0,31.8,5175,5.081618046,4.624959082,4.044391408,3.949017247,4.71875997,4.304500095,4.287539437,3.632592574
G5ED30,vab-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01E-05,10.4,211,NA,NA,NA,NA,NA,NA,NA,NA
G5ED31;G5EDD1,ucr-2.1,0.984645166,0.811852313,0.298601763,-0.559149148,1.453596912,1.393576724,1.131787364,1.384847405,6.357343957,5.889043851,5.333366656,4.871099857,6.493151218,6.364062961,5.604204446,5.430897049,2.07E-204,38.3,410,5.962405699,5.589031396,5.651332439,5.573273982,6.105312374,5.863238941,5.863131968,5.695965981
O44843;Q9N4X4;G5ED32;Q9N5Q7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35E-06,1.1,1360,NA,NA,NA,NA,NA,NA,NA,NA
Q7YTG1;O18250;G5ED33;Q7YTG2,eps-8,-0.273098089,-0.561790462,-0.112633417,-0.575699579,0.461918804,0.389999252,0.325069374,0.487216879,6.530020307,6.36567514,5.349219229,4.859924481,6.676821593,6.761995457,6.061904634,5.93344173,2.31E-210,27.3,845,6.135082048,6.065662685,5.667185013,5.562098606,6.28898275,6.261171438,6.320832156,6.198510662
O62178;G5ED36,rme-8,0.025984716,-0.379731849,-0.201382936,-0.690193578,0.457732043,0.286585714,0.397163088,0.45460487,5.481141528,5.397279379,5.338595924,4.583005963,6.058350092,6.030680664,5.467030635,5.428037553,2.28E-239,20.7,2271,5.08620327,5.097266924,5.656561707,5.285180088,5.670511249,5.529856645,5.725958158,5.693106485
G5ED39,Sep-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.284926787,4.667088553,4.148324963,NA,1.42E-45,7.7,1262,NA,NA,NA,NA,3.897087943,4.166264534,4.407252485,NA
G5ED41,cand-1,-0.368377246,-0.981925699,-0.919073069,-0.528471302,0.576325025,0.560408775,0.407497515,0.409948961,5.993960594,5.987755617,5.417919873,4.560133882,6.673168413,6.820838308,6.043440876,5.786808189,0,44.7,1274,5.599022336,5.687743162,5.735885657,5.262308007,6.28532957,6.320014289,6.302368398,6.051877121
G5ED43,fmo-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76705192,NA,NA,2.90E-66,16.8,518,NA,NA,NA,NA,NA,4.266227901,NA,NA
G5ED44,fat-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78E-28,13.5,333,NA,NA,NA,NA,NA,NA,NA,NA
G5ED46,casy-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57E-44,8.7,984,NA,NA,NA,NA,NA,NA,NA,NA
G5EDC4;G5ED52,nep-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25E-05,3.5,771,NA,NA,NA,NA,NA,NA,NA,NA
G5EEJ6;G5ED55;G5EEI0;G5EFG8;G5EFI5;G5EFI8,plc-1,NA,NA,NA,NA,NA,NA,NA,NA,5.095866453,NA,NA,NA,NA,NA,NA,NA,4.91E-14,2,1868,4.700928195,NA,NA,NA,NA,NA,NA,NA
G5ED56,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00048922,9.4,117,NA,NA,NA,NA,NA,NA,NA,NA
G5ED57,,-0.430820497,NA,NA,NA,NA,NA,NA,NA,5.461123197,NA,NA,NA,NA,NA,4.459950077,4.362331652,1.45E-11,6.2,763,5.066184939,NA,NA,NA,NA,NA,4.7188776,4.627400584
G5ED58,spd-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39E-72,38.2,529,NA,NA,NA,NA,NA,NA,NA,NA
G5ED60,mcrs-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.566142756,4.642632666,NA,NA,3.27E-30,19.9,478,NA,NA,NA,NA,4.178303912,4.141808646,NA,NA
G5ED63,,NA,NA,NA,NA,NA,NA,NA,NA,3.843898974,4.386855529,4.058653742,NA,4.473004964,4.834039018,NA,3.849714167,1.73E-05,2.9,648,3.448960716,4.086843074,4.376619525,NA,4.085166121,4.333214999,NA,4.114783099
G5ED64,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42E-36,2.9,686,NA,NA,NA,NA,NA,NA,NA,NA
Q69Z15;G5ED68;G5EBF2,mtm-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56E-21,8,674,NA,NA,NA,NA,NA,NA,NA,NA
G5ED75;Q9XU12,klp-7,-0.221072783,-0.96095646,NA,NA,1.00092362,0.667492554,NA,NA,5.250395603,4.809040945,3.826923117,3.963504499,5.947056124,6.037426498,5.125058151,5.069816043,1.32E-203,38.3,689,4.855457345,4.50902849,4.1448889,4.665678624,5.55921728,5.536602479,5.383985673,5.334884974
G5ED81,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29E-10,30.8,78,NA,NA,NA,NA,NA,NA,NA,NA
G5ED87,,-1.146915848,NA,NA,NA,NA,NA,NA,NA,5.27845635,4.206610024,NA,NA,NA,NA,NA,NA,9.51E-19,8.8,985,4.883518092,3.906597569,NA,NA,NA,NA,NA,NA
G5ED89;G5ECM2,dcp-66,-1.387307391,-1.643440634,NA,NA,0.635001825,0.451228019,NA,NA,4.909940947,4.300986564,4.064083436,4.222690465,5.599380833,5.209836595,NA,NA,1.43E-119,26.4,700,4.515002689,4.000974109,4.38204922,4.924864589,5.21154199,4.709012576,NA,NA
G5ED93,ppfr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.642078529,NA,NA,NA,2.19E-86,13.3,1364,NA,NA,NA,NA,4.254239685,NA,NA,NA
G5ED95,yrs-2,-1.290011472,-1.42234066,-1.350101159,NA,0.720659459,0.46647652,0.857076889,0.7717662,5.562590225,5.416057729,4.655205688,4.770807844,6.368454247,6.308607094,5.340463945,5.371529632,0,60.1,722,5.167651966,5.116045274,4.973171471,5.472981968,5.980615403,5.807783075,5.599391467,5.636598564
G5ED97,tag-65,NA,NA,NA,NA,NA,NA,NA,NA,4.823578552,4.927919301,NA,NA,NA,4.926609939,NA,NA,5.53E-35,22.1,675,4.428640294,4.627906846,NA,NA,NA,4.42578592,NA,NA
G5ED98,ppk-3,NA,NA,NA,NA,NA,0.838047841,NA,NA,NA,4.028611915,NA,NA,4.124797568,4.670050934,3.737979387,NA,1.07E-25,7.3,1497,NA,3.72859946,NA,NA,3.736958724,4.169226914,3.996906909,NA
G5ED99;A6ZJ67,prx-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06E-26,7.5,996,NA,NA,NA,NA,NA,NA,NA,NA
G5EDA1;G5EFV3,rsa-2,NA,NA,NA,NA,1.252569632,0.46647652,0.419179164,NA,NA,4.005866602,NA,NA,5.403463701,5.373518855,4.689921235,4.254886294,3.37E-31,13.7,947,NA,3.705854147,NA,NA,5.015624858,4.872694836,4.948848758,4.519955226
G5EDA3,hcp-4,NA,NA,NA,NA,0.974460858,NA,NA,NA,NA,NA,NA,NA,4.736516016,4.015778756,4.469159027,4.544353344,4.14E-55,18.6,866,NA,NA,NA,NA,4.348677173,3.514954737,4.728086549,4.809422276
G5EEE3;G5EDA4;G5EGK6;G5ED50;G5EBT0;E1B6R6;Q8I124,din-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31E-18,4.2,2211,NA,NA,NA,NA,NA,NA,NA,NA
G5EDA6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11E-06,30.1,73,NA,NA,NA,NA,NA,NA,NA,NA
G5EDA7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41E-61,12.6,556,NA,NA,NA,NA,NA,NA,NA,NA
