Uniprot ID,Gene Name,Log2 Ratio L/H AgProp.Total1,Log2 Ratio L/H AgProp.Insoluble1,Log2 Ratio L/H AgProp.Soluble1,Log2 Ratio L/H AgProp.Total2,Log2 Ratio L/H AgProp.Insoluble2,Log2 Ratio L/H AgProp.Soluble2,Log2 Ratio L/H AgProp.Total3,Log2 Ratio L/H AgProp.Insoluble3,Log2 Ratio L/H AgProp.Soluble3,log abs.LFQ AgProp.Total1,log abs.LFQ AgProp.Insoluble1,log abs.LFQ AgProp.Soluble1,log abs.LFQ AgProp.Total2,log abs.LFQ AgProp.Insoluble2,log abs.LFQ AgProp.Soluble2,log abs.LFQ AgProp.Total3,log abs.LFQ AgProp.Insoluble3,log abs.LFQ AgProp.Soluble3,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgProp.Total1 Corrected,log abs.LFQ AgProp.Insoluble1 Corrected,log abs.LFQ AgProp.Soluble1 Corrected,log abs.LFQ AgProp.Total2 Corrected,log abs.LFQ AgProp.Insoluble2 Corrected,log abs.LFQ AgProp.Soluble2 Corrected,log abs.LFQ AgProp.Total3 Corrected,log abs.LFQ AgProp.Insoluble3 Corrected,log abs.LFQ AgProp.Soluble3 Corrected,log2 Aggregation Propensity 1,log2 Aggregation Propensity 2,log2 Aggregation Propensity 3,log2 Median Aggregation Propensity,Median Aggregation Propensity Percentage
G5EDP0,,0.506086284,-2.193992467,0.247165791,0.630081305,-4.081083929,0.552219819,0.129402495,-4.018723183,0.068604376,7.5185271,6.725152761,7.699108956,7.351892892,5.707913753,7.22005576,7.416740334,6.510608983,7.587093312,4.17E-157,29.2,445,7.478862348,7.040579362,7.576642706,7.573655341,5.939901054,7.329414936,7.444061758,6.819986235,7.50754452,-2.700078751,-4.711165234,-4.148125678,-4.148125678,5.640138195
G5EDP2,daf-22,0.458584284,-3.490441771,0.128077518,1.881241611,-4.09643054,2.060698186,0.425055652,-3.707856051,0.244821851,6.872849425,6.090579641,7.290857877,7.619041129,5.652633955,7.724759061,7.201342493,6.068063727,7.123099955,1.65E-219,45.6,412,6.833184673,6.406006242,7.168391626,7.840803578,5.884621257,7.834118236,7.228663917,6.377440979,7.043551163,-3.949026055,-5.977672151,-4.132911703,-4.132911703,5.699931124
G5EDP3,tre-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28E-47,9.3,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDP6,fmo-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53E-32,17.1,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDP9,aap-1,NA,-0.867184822,NA,NA,NA,NA,NA,NA,NA,NA,5.268931416,5.403532305,NA,5.161586927,NA,5.389856861,4.626843409,NA,8.49E-17,16.1,522,NA,5.584358017,5.281066055,NA,5.393574228,NA,5.417178285,4.93622066,NA,NA,NA,NA,NA,NA
G5EDQ0;Q22833,clh-1,0.364626354,NA,1.305717062,NA,NA,NA,NA,NA,NA,5.708123336,NA,6.504905619,NA,NA,NA,5.03594978,NA,NA,1.41E-55,14.9,902,5.668458584,NA,6.382439369,NA,NA,NA,5.063271204,NA,NA,NA,NA,NA,NA,NA
G5EDQ2,hmg-12,0.124109872,-2.151241871,0.415884129,-0.292192774,NA,0.358361493,0.654535494,NA,0.293376623,7.134304635,4.924224715,7.220081925,6.84992283,4.850869664,6.301702631,7.277677963,4.454552018,7.175627764,0,63.5,315,7.094639883,5.239651316,7.097615675,7.071685279,5.082856965,6.411061807,7.304999387,4.76392927,7.096078973,-2.275351743,NA,NA,-2.275351743,20.65622116
G5EDQ4;G5EDV5;G5EF89;G5EGA4,cle-1,0.533827097,-1.008558599,-0.267715562,0.436431822,-1.843903469,-0.268913416,0.461005014,-0.918386234,-0.047398789,7.488663506,6.772829797,7.40171064,7.133698546,6.965333011,6.900427216,7.480236972,7.023996444,7.180498623,3.94E-238,16,650,7.448998754,7.088256398,7.27924439,7.355460995,7.197320313,7.009786391,7.507558396,7.333373695,7.100949831,-1.542385696,-2.28033529,-1.379391248,-1.542385696,34.33172623
G5EDQ7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64E-19,16.2,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDR3,sur-6,0.744414672,NA,0.913977178,NA,NA,1.045699447,NA,NA,NA,6.909101173,4.889240936,7.011866357,5.950028779,4.253518838,6.167966813,NA,NA,NA,9.84E-193,36.2,495,6.86943642,5.204667537,6.889400106,6.171791228,4.48550614,6.277325989,NA,NA,NA,NA,NA,NA,NA,NA
G5EDR5,fut-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37E-34,20.1,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDS2,pod-1,0.63809692,-1.787390671,0.569671902,0.754553016,-2.610203962,0.395435207,0.469389847,-1.82130204,0.325503191,6.947232704,5.832284837,7.173069664,6.851356207,5.955248759,6.705504501,6.97429979,6.006322306,6.97768246,0,33,1057,6.907567952,6.147711438,7.050603413,7.073118656,6.187236061,6.814863677,7.001621215,6.315699558,6.898133668,-2.425487591,-3.364756978,-2.290691887,-2.425487591,18.61467598
G5EDS8,exos-7,NA,NA,0.911451303,NA,NA,NA,NA,NA,NA,5.991527318,4.50885671,6.39913701,5.765191537,NA,NA,5.962407222,NA,6.155700328,3.90E-55,37.5,312,5.951862566,4.824283311,6.27667076,5.986953987,NA,NA,5.989728647,NA,6.076151536,NA,NA,NA,NA,NA
G5EDT1,lin-35,0.221522258,NA,-0.38659025,NA,NA,0.51896978,0.45739525,-1.840563942,NA,5.548082171,NA,5.500538345,4.530788607,NA,5.282372837,5.592509848,4.462467209,5.1181324,1.50E-55,19.1,961,5.508417418,NA,5.378072094,4.752551056,NA,5.391732013,5.619831272,4.77184446,5.038583608,NA,NA,-2.297959192,-2.297959192,20.33505514
G5EEP7;G5EDT4,,-0.19761381,-3.634360932,-0.093154488,0.562090498,-3.303006233,0.307072945,NA,-2.810607621,-0.216485907,6.500648063,5.221793587,6.524110393,6.584172859,5.75403982,6.604679557,5.94920942,5.552125235,6.57279031,2.74E-126,13.2,915,6.460983311,5.537220189,6.401644143,6.805935308,5.986027121,6.714038732,5.976530844,5.861502486,6.493241518,-3.436747122,-3.865096732,NA,-3.650921927,7.960915024
G5EDT9,,0.456325956,NA,-0.039840265,NA,-1.939414661,0.480437967,0.607242966,-2.602528144,-0.030124161,5.841640982,3.585931005,5.557759765,4.889531398,4.394120597,5.245660698,5.735582933,4.733865929,5.648818462,2.67E-253,15.1,2944,5.80197623,3.901357606,5.435293515,5.111293847,4.626107898,5.355019873,5.762904357,5.043243181,5.56926967,NA,NA,-3.209771109,-3.209771109,10.80843007
G5EDU0,oat-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.149834697,5.372747236,NA,1.43E-09,8.6,526,NA,NA,NA,NA,NA,NA,5.177156121,5.682124487,NA,NA,NA,NA,NA,NA
G5EFK9;G5EDU1;G5EC26,pmr-1,1.178404062,NA,0.528448334,NA,NA,NA,1.36650369,NA,0.590875223,5.711756629,NA,5.752969865,4.952739182,NA,4.868003396,5.47447851,NA,5.571510851,1.90E-44,8.9,901,5.672091877,NA,5.630503615,5.174501631,NA,4.977362572,5.501799935,NA,5.491962059,NA,NA,NA,NA,NA
G5EDU3,pld-1,1.044508638,NA,NA,NA,NA,NA,NA,NA,NA,5.213438063,NA,5.030397301,NA,NA,NA,NA,NA,NA,1.14E-116,16.7,1427,5.173773311,NA,4.907931051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDU4,eor-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41E-05,1.5,909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDU8;Q8WT44,cyk-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.489984467,NA,1.59E-135,17.9,1175,NA,NA,NA,NA,NA,NA,NA,4.799361719,NA,NA,NA,NA,NA,NA
G5EDV0,,NA,-2.448795255,NA,NA,NA,NA,NA,NA,NA,5.559403845,5.106048214,NA,5.810763297,NA,NA,NA,NA,NA,0,39.9,884,5.519739093,5.421474815,NA,6.032525746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q95Y45;G5EDV1,lin-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00077483,4.5,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDV3,cey-4,0.90503432,-3.414541488,0.678164241,0.590158335,-3.66106548,0.314050884,0.857207557,-2.867619756,0.66824893,8.060433407,6.831675814,8.260762845,8.00838723,6.648639479,7.7794594,8.20341368,6.875411323,8.257870486,0,53.1,294,8.020768655,7.147102415,8.138296595,8.230149679,6.880626781,7.888818576,8.230735105,7.184788575,8.178321694,-4.319575808,-4.251223814,-3.724827313,-4.251223814,5.251146245
G5EDV7,,1.001616724,NA,0.860713882,0.766774554,NA,0.564051435,0.860190009,NA,0.99631142,7.830518098,NA,7.637129336,7.553543222,5.172927881,7.296730987,7.672060895,NA,7.568835097,7.89E-142,48.2,222,7.790853346,NA,7.514663086,7.775305671,5.404915183,7.406090163,7.69938232,NA,7.489286305,NA,NA,NA,NA,NA
G5EDW0;G5EBW4;G5EE99,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90E-11,17.4,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDW1,adbp-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51E-24,46.1,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDW5,adm-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.217352808,NA,NA,4.346372269,NA,NA,NA,NA,2.15E-08,3.6,952,NA,4.532779409,NA,NA,4.578359571,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDW7,lin-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.42E-29,18.7,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDW8,,0.967250266,NA,1.039784866,0.921854744,-4.037470081,0.919506056,1.156080456,-2.82527683,0.949143114,6.689814797,NA,6.981487892,7.056256736,5.161957424,7.039533088,7.077331561,5.672068748,7.018076064,1.15E-71,25,400,6.650150045,NA,6.859021642,7.278019185,5.393944726,7.148892263,7.104652986,5.981446,6.938527272,NA,-4.959324826,-3.981357286,-4.470341056,4.511212151
G5EDW9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75E-60,10.3,910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDX9,fbxa-101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44E-48,8.2,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDY0,piki-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45E-26,5.7,1607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDY1;G5EGQ8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22E-36,7.7,1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDY2,wars-1,0.576733797,-2.928048109,0.483762917,0.157109643,-3.280035783,0.114972363,0.743762246,-2.682281133,0.529280939,7.339491192,6.081709431,7.592110109,7.298612948,5.925895931,7.427745699,7.476353323,6.276097954,7.616422996,0,83.9,417,7.29982644,6.397136032,7.469643858,7.520375397,6.157883233,7.537104875,7.503674747,6.585475206,7.536874204,-3.504781906,-3.437145425,-3.426043379,-3.437145425,9.23243221
G5EDY3,skr-7,NA,NA,NA,0.633389625,NA,NA,NA,NA,NA,6.262118715,NA,6.186051791,6.35022863,NA,NA,5.731371161,NA,6.198712057,2.87E-46,43.3,194,6.222453963,NA,6.06358554,6.571991079,NA,NA,5.758692585,NA,6.119163266,NA,NA,NA,NA,NA
G5EDY8;Q8WQC9,drp-1,0.50754174,-2.363227157,0.40740184,0.820336089,-2.532292021,0.056341176,0.498097229,-2.624802765,0.257062484,6.99418953,5.753456434,7.06881643,6.651307095,5.899057707,6.493945748,6.864380536,5.689539561,6.880699289,3.62E-266,38.9,705,6.954524778,6.068883035,6.94635018,6.873069544,6.131045009,6.603304924,6.89170196,5.998916813,6.801150497,-2.870768897,-3.35262811,-3.122899994,-3.122899994,11.47924773
G5EDZ0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.007577098,4.880015776,NA,NA,NA,NA,NA,NA,NA,4.05E-148,11.7,905,4.967912346,5.195442377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EDZ2,umps-1,0.531010127,NA,0.299737855,0.266663015,NA,0.133970365,0.671531148,NA,0.45176068,6.641811103,4.884490981,7.023293623,6.502099227,4.737779717,6.796095374,7.047586357,4.605154962,6.846745231,0,70.4,497,6.602146351,5.199917582,6.900827373,6.723861676,4.969767019,6.90545455,7.074907782,4.914532214,6.76719644,NA,NA,NA,NA,NA
O62305-6;O62305-7;O62305-8;G5EDZ5;O62305;O62305-4;O62305-5;O62305-9;O62305-11;O62305-10;O62305-3,unc-43,0.70181093,-3.186088481,0.689031746,1.128124818,-1.992188336,NA,1.232768963,-2.771970068,0.680844542,6.708862619,4.934710082,6.71328889,6.456608927,5.796626663,5.852174904,6.537529469,5.631390579,6.641176547,0,44.2,518,6.669197867,5.250136683,6.590822639,6.678371376,6.028613965,5.96153408,6.564850893,5.94076783,6.561627755,-3.887899411,-3.120313154,-4.004739031,-3.887899411,6.755004725
G5EDZ7,cdr-4,0.245163795,NA,NA,1.09461829,NA,NA,0.493641794,NA,0.436236602,6.617178638,NA,5.566461062,6.796484135,NA,5.604593212,6.563421751,NA,6.65955493,2.73E-75,42.2,277,6.577513886,NA,5.443994812,7.018246584,NA,5.713952387,6.590743176,NA,6.580006138,NA,NA,NA,NA,NA
G5EDZ9,cpi-1,0.782471468,-4.897676073,0.872498781,0.349345715,-5.559338848,0.436470869,0.806846462,-6.276422221,0.852849629,9.221283799,6.796494508,9.168909779,8.892578738,7.335840031,9.149434666,9.009790719,6.819876461,9.280350693,6.63E-208,53.2,139,9.181619047,7.111921109,9.046443529,9.114341187,7.567827332,9.258793842,9.037112144,7.129253713,9.200801901,-5.680147541,-5.908684562,-7.083268683,-5.908684562,1.664595483
G5EE01,daf-18,0.565972325,-2.095991913,-0.055334502,0.263559642,NA,-0.137765808,0.537842952,-1.535903648,0.075580818,6.406846633,5.064976186,6.13687904,5.615907987,4.090428521,5.765027442,6.481155871,5.40161675,5.975904909,2.79E-201,31.5,962,6.367181881,5.380402787,6.01441279,5.837670436,4.322415822,5.874386617,6.508477295,5.710994001,5.896356117,-2.661964238,NA,-2.0737466,-2.367855419,19.37333969
G5EE04,hip-1,0.22332326,-1.380009029,0.16805792,0.340221545,-3.791709902,0.150240876,0.146659002,-2.678590281,0.609156253,7.793392215,6.604085841,7.993462684,7.707365754,6.67260969,7.697743564,7.679754857,6.556511327,7.79284676,0,59,422,7.753727463,6.919512442,7.870996434,7.929128203,6.904596991,7.807102739,7.707076282,6.865888579,7.713297968,-1.603332289,-4.131931446,-2.825249282,-2.825249282,14.10961686
G5EE09;Q8I4B4;Q9U1P4;B3GWC3,ccr-4,0.685547086,-1.832079853,-0.010923027,0.097887821,NA,-0.264236151,NA,NA,0.514408303,6.554222566,5.457757051,6.45293587,5.802068707,4.935886284,6.176004391,5.432841067,4.230991001,6.274180949,1.57E-97,33.7,606,6.514557813,5.773183652,6.33046962,6.023831156,5.167873586,6.285363567,5.460162491,4.540368253,6.194632158,-2.517626938,NA,NA,-2.517626938,17.46299677
G5EE11,,0.731948939,-3.717210299,0.348316819,0.32142324,NA,0.272489002,0.944859889,NA,0.844380279,6.568881977,5.092338836,6.712843239,6.360081955,5.113389573,5.922849969,6.760987603,NA,6.491179532,5.29E-91,56.8,280,6.529217225,5.407765437,6.590376989,6.581844404,5.345376875,6.032209145,6.788309028,NA,6.41163074,-4.449159238,NA,NA,-4.449159238,4.577934915
G5EE12,cash-1,NA,NA,0.654013268,NA,NA,NA,NA,NA,NA,5.675915755,NA,6.054076557,NA,4.563805398,NA,5.644783131,NA,5.715108779,1.11E-129,18.4,678,5.636251003,NA,5.931610307,NA,4.7957927,NA,5.672104555,NA,5.635559987,NA,NA,NA,NA,NA
G5EE13,ptr-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.762235793,NA,5.702146084,NA,NA,NA,5.410928999,NA,NA,4.65E-69,12.7,983,5.722571041,NA,5.579679834,NA,NA,NA,5.438250424,NA,NA,NA,NA,NA,NA,NA
G5EE14;G5ED40,cua-1,0.390755649,-1.278698482,NA,NA,-0.323888827,NA,NA,NA,0.50512362,4.995385074,4.384594566,4.869818208,NA,4.922398701,4.890918189,4.558816531,NA,5.238447577,1.10E-123,18.5,1238,4.955720322,4.700021167,4.747351958,NA,5.154386003,5.000277364,4.586137955,NA,5.158898785,-1.669454131,NA,NA,-1.669454131,31.43722694
G5EE16,,0.951763814,NA,0.645164225,NA,NA,NA,NA,NA,NA,5.831633054,NA,5.733028652,NA,3.753492918,4.881333292,5.311181486,NA,5.422425676,4.27E-82,19.9,996,5.791968302,NA,5.610562402,NA,3.98548022,4.990692467,5.338502911,NA,5.342876885,NA,NA,NA,NA,NA
G5EE25;Q9BL96,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75E-09,3.6,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q49HI3;Q14DX2;G5EE26;Q49HI2;Q8T3B2;A8WFN4,tom-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57E-42,6.8,1124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EGD0;G5EE32,,-0.173894961,-0.683741362,-1.229587923,1.25787303,-1.360251891,0.977270005,-0.188274311,-0.732746762,2.079904917,4.706000476,4.044782976,4.614496468,4.900727525,4.388399647,4.372212152,4.198217072,4.52476768,5.112739022,0,28.8,3393,4.666335724,4.360209577,4.492030218,5.122489975,4.620386948,4.481571327,4.225538497,4.834144932,5.033190231,-0.509846402,-2.618124921,-0.544472451,-0.544472451,68.56420749
G5EE34;Q9XV94,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72E-28,18.9,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE36,hsp-12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32E-27,70.9,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE37,icp-1,0.23697943,NA,-0.217106608,NA,NA,NA,0.377894282,NA,-0.007195501,6.322674032,NA,6.195871989,NA,NA,4.666208997,5.690780655,NA,5.754088293,3.68E-186,26.2,622,6.28300928,NA,6.073405739,NA,NA,4.775568173,5.718102079,NA,5.674539501,NA,NA,NA,NA,NA
G5EE40,srp-1,0.755989781,NA,0.975651949,1.144967103,-4.075960413,1.001154618,1.048084018,-4.452397756,0.995822239,6.858428911,4.959446858,7.280077323,6.897313626,5.238972965,6.986959739,7.009875634,5.320125999,7.036469199,9.42E-144,27.9,366,6.818764159,5.274873459,7.157611072,7.119076076,5.470960266,7.096318914,7.037197058,5.62950325,6.956920407,NA,-5.220927516,-5.500481774,-5.360704645,2.433700347
G5EE41,cuc-1,NA,NA,NA,NA,NA,0.922921108,NA,-3.764473551,NA,NA,NA,NA,NA,5.598179025,6.917358444,NA,5.752397045,NA,3.51E-106,72.5,69,NA,NA,NA,NA,5.830166327,7.02671762,NA,6.061774296,NA,NA,NA,NA,NA,NA
G5EE42,,0.664791177,NA,0.419082711,0.879860431,NA,NA,0.698950904,NA,0.360175134,7.098124338,5.453352198,7.076203381,6.773954574,5.446245697,6.179264464,7.142170386,6.23936645,7.205420916,3.21E-91,66,100,7.058459586,5.768778799,6.953737131,6.995717023,5.678232998,6.28862364,7.169491811,6.548743702,7.125872124,NA,NA,NA,NA,NA
G5EE46,,0.569265126,-3.975171591,0.529843218,0.420955051,-3.339992484,0.377275763,0.716979082,-4.281846592,0.735067295,7.122838194,5.598695183,7.200576927,7.060093184,5.452703644,6.914723857,7.127169614,5.5718778,7.226677221,0,77,487,7.083173442,5.914121784,7.078110677,7.281855633,5.684690946,7.024083033,7.154491038,5.881255052,7.147128429,-4.544436717,-3.760947535,-4.998825674,-4.544436717,4.28536911
G5EE48,ttr-50,0.367787632,-3.951494546,NA,NA,-5.856064421,NA,-0.85431488,-4.023432795,-0.953600494,7.167553621,6.404299002,7.16262414,NA,5.605108757,6.216588111,7.280828678,6.536361258,7.284971855,2.92E-24,14.1,213,7.127888869,6.719725603,7.04015789,NA,5.837096058,6.325947287,7.308150102,6.845738509,7.205423063,-4.319282178,NA,-3.169117914,-3.744200046,7.462485089
G5EE53,rrf-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74661643,NA,NA,NA,NA,NA,NA,NA,4.02E-14,4.4,1765,NA,4.062043031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE55;G5EFP7;G5EC64,nrfl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41E-303,71.2,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE56,src-1,NA,-1.671021568,NA,0.465898545,-2.146101236,NA,NA,-2.771970068,NA,5.629715333,5.389084074,5.705530169,5.807027378,5.0844083,NA,5.795574166,5.151972541,5.671561589,7.64E-30,20.1,533,5.590050581,5.704510675,5.583063919,6.028789827,5.316395601,NA,5.822895591,5.461349793,5.592012797,NA,-2.61199978,NA,-2.61199978,16.35722838
G5EE59,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05E-14,13.2,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE62,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65E-184,28,853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O01263;G5EE65,hsp-12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02E-113,48.6,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE66,cogc-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02E-47,19.1,787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE67,skr-3,0.101845834,NA,-0.13211616,0.02416441,NA,0.364905012,0.172229743,NA,0.106389271,7.124439011,5.802564984,6.911844476,6.945606435,5.152103697,7.039929414,7.220448065,5.502959877,7.329540248,6.46E-114,56.3,167,7.084774258,6.117991585,6.789378226,7.167368884,5.384090999,7.14928859,7.24776949,5.812337128,7.249991456,NA,NA,NA,NA,NA
G5EE68,unc-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022967,2.1,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE72;G5EEY4,mrp-5,0.599330922,-1.935949992,0.709693565,0.230431352,-3.145481822,0.339947614,0.835213722,NA,0.332116955,5.881783956,4.849087551,6.153570981,5.221466402,4.548004857,5.571336087,5.996314619,4.459454865,6.008046306,4.02E-158,18.4,1427,5.842119204,5.164514152,6.031104731,5.443228851,4.779992159,5.680695262,6.023636043,4.768832117,5.928497514,-2.535280915,-3.375913175,NA,-2.955597045,12.89070395
G5EE74,nud-1,0.236146548,-5.31331842,0.248227806,-0.005471851,-3.747709634,-0.552868871,-0.032947164,-4.085169681,0.381648565,7.303260873,5.711062876,7.567426345,7.442730553,6.049071101,7.172106478,7.636778666,6.155196221,7.676501563,2.68E-171,68.4,320,7.263596121,6.026489477,7.444960095,7.664493002,6.281058403,7.281465653,7.66410009,6.464573472,7.596952771,-5.549464968,-3.742237782,-4.052222516,-4.052222516,6.027808873
Q21734-2;Q21734-3;Q21734;G5EE78;Q21734-4,rskn-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41E-45,5.2,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE80,,0.54247925,-3.221846155,0.814057358,0.809751786,-3.175237151,0.470708763,0.661090727,-3.289465631,1.046265426,6.932930143,5.322533927,7.125903968,6.967412238,6.047238515,6.904872361,7.080554339,5.490419273,7.219741661,2.79E-143,49.8,496,6.893265391,5.637960528,7.003437718,7.189174687,6.279225817,7.014231536,7.107875763,5.799796525,7.140192869,-3.764325405,-3.984988937,-3.950556358,-3.950556358,6.46791102
G5EE84,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.20E-15,13.1,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE89,cdr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87E-42,13.4,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE90,,NA,NA,0.951010573,3.353918468,NA,NA,NA,NA,NA,6.273070754,4.763910574,6.670255133,6.910432291,NA,NA,6.50726202,NA,6.641731834,2.09E-06,10.3,194,6.233406002,5.079337175,6.547788883,7.13219474,NA,NA,6.534583444,NA,6.562183043,NA,NA,NA,NA,NA
G5EGJ6;G5EE91;G5EGP7;Q93971,gon-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.886456301,NA,NA,NA,NA,NA,NA,NA,4.04E-19,3.2,1626,NA,4.201882902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EFH7;G5EE95;Q7K783,agef-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.249565212,NA,5.517354274,NA,3.947709699,NA,NA,NA,NA,1.99E-137,15.9,1594,5.20990046,NA,5.394888024,NA,4.179697,NA,NA,NA,NA,NA,NA,NA,NA,NA
